"id","name","desc"
"transponder","Transponder","Déclinez votre identité ; requis pour le commerce légal."
"go_dark","Mode Furtif","Réduit le profil de détection au détriment du niveau de propulsion."
"sensor_burst","Scan Actif","Arrêt des moteurs et augmentation de la portée de détection, la flotte est plus détectable"
"emergency_burn","Propulsion d'Urgence","Augmente brièvement la propulsion au prix d'une consommation accrue de carburant et d'une réduction de la disponibilité au combat."
"sustained_burn","Vitesse de Croisière ","Augmente le niveau de propulsion au détriment de l'accélération et du temps d'activation."
"interdiction_pulse","Impulsion d'Interception","Ralentit une flotte ennemie se dirigeant vers la source de l'impulsion."
"","",""
"scavenge",""Fouille","Fouillez un champ de débris pour trouver des objets de valeur."
"gravitic_scan","Détecteur de Neutrinos","Détecte les entités du système à très longue portée ; détection peu fiable avec de fausses alertes."
"fracture_jump","Saut Transversal","Entre dans un système via un puits gravitationnel naissant, ou directement dans l'hyperespace."
"remote_survey","Analyse Distante", "Procéder à une analyse préliminaire des planètes proches."
"distress_call","Appel de Détresse","Émet un appel de détresse."

