"id","name","desc"
"urbanized_polity","Urbanized Polity","A dense and cosmopolitan center of population, people of all walks of life live, work, and die in the stacked hab-complexes, commercial concourses, and modular workshops."
"industrial_polity","Industrial Polity","A bustling industrial center. The policies of the local government encourage thriving industry, at the expense of all other concerns."
"rural_polity","Rural Polity","A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion."
"large_refugee_population","Large Refugee Population","Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions."
"volturnian_lobster_pens","Volturnian Lobster Pens","A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional."
"vice_demand","Vice Demand","The demand for vice goods is unusually high here."
"organized_crime","Organized Crime","Criminal activity produces drugs and harvested organs. Increases demand for hand weapons (by both various crime bosses and local citizenry) and marines (by the local authorities)."
"frontier","Frontier","Far from the cosmopolitan centers of population, mere survival, self-reliance, and only-the-necessities are the rules of the frontier. Increased demand for weapons and supplies, reduced demand for luxury goods."
"shipbreaking_center","Shipbreaking Center","A major center of shipbreaking in this region of the Sector, hulks are consigned to scrapping here by the navies of major factions and many other clients from among the Sector core worlds."
"trade_center","Trade Center","A major center of trade, merchant vessels from across the Sector dock here expecting to find a buyer for their goods- and to find something to buy in turn for a nice profit."
"decivilized","Decivilized","There is no stable ruling polity here. Civilization is collapsed and current population is effectively unknown, though groups of survivors, bandits, and looters can be detected."
"decivilized_subpop","Decivilized Subpopulation","Civilization has been brought back to parts of $market, often at the point of a gauss rifle. However, an effectively unknown population of survivors, bandits, and looters still remains on the fringes."
"abandoned_station","Abandoned Station","This station is abandoned."
"cottage_industry","Cottage Industry","$market has a substantial base of low-technology, labour-intensive light industry. Increases demand for simple organic fuels and materials, provides an inefficient albeit charmingly hand-crafted supply of domestic goods."
"outpost","Outpost","$market is run much like a garrison or a large spaceship, with a rigid official command structure. This improves stability, but does require some personnel to see to internal security matters."
"luddic_majority","Luddic Majority","Stability is improved if $market is controlled by a Luddic faction, otherwise it is reduced. The ascetic ethos of Luddic theology reduces demand for luxury goods."
"stealth_minefields","Stealth Minefields","A network of hidden mines provides $market security from meddlesome outsiders. Improves stability."
"regional_capital","Regional Capital","A major center of administration, security, and logistics. Improves stability."
"free_market","Free Port","The local port authority imposes almost no regulation on what cargo is traded. Immigration controls are likewise relaxed, resulting in a greater in-flow of people, albeit sometimes of a more questionable character. This may cause other factions to view this colony with distrust."
"closed_immigration","Closed Immigration","Officially, immigration to $market is not allowed. In practice, this results in slowing overall immigration significantly, and creating room for certain kinds of criminals to operate."
"","",""
"uninhabitable","Uninhabitable World","A barren planet, the surface of $market can not support organic life as we know it, and farming is impossible outside of sealed artificial ecosystems."
"ice","Ice World","$market's average temperature is far below the freezing point of water and some common terran atmospheric gases fall as snow. The drifts and glaciers of light, volatile elements may be harvested."
"desert","Desert World","$market: desert planet. A xerophile biosphere maintains an atmosphere breathable with only a light mask. Farming is nearly impossible."
"arid","Arid World","$market is covered by vast, dry plains and wastes. Water is uncommon and large-scale farming is difficult."
"water","Water World","The climate of $market is hospitable but farming is limited largely to aquaculture and highly specialized infrastructure is required for any development of habitats and industry."
"jungle","Jungle World","$market is a wet, warm jungle world covered in riotous vegetation and exotic lifeforms, making farming and maintaining permanent infrastructure difficult."
"terran","Terran World","$market is as close to Old Earth's condition as can be found in the Sector, providing ideal conditions for farming and settlement."
"barren_marginal","Barren-marginal World","Inhospitable and unforgiving, outside conditions on $market are barely survivable to a human with an air mask and protective equipment, though certain engineered terraforming lichens find it tolerable enough."
"twilight","Twilight World","Tidally locked to its primary, or near enough, $market is a terraformed world with days the length of seasons. Day/night temperature variation is accordingly harsh even to engineered terran life. Islands of 'civilized' mild biomes are maintained through judicious use of solar shades and mirrors. "
"tundra","Tundra World","Terraforming has brought terran life to $market but the world remains as cold as the deepest of Earth's ice ages. Though millions of square kilometers are covered in glacier, there are also taiga provinces and rolling steppe where warmer conditions prevail."
"cryovolcanic","Cryovolcanic World","A world frozen beyond deepest chill, methane snow falls on mountains of water-ice and volcanos erupt with ammonia. Stellar radiation breaks down the volatiles to form an atmosphere of light gases such as nitrogen and oxygen while hydrogen is whisked into space. "
"dissident","Dissident Population","$market is a dumping-ground for dissidents, rebels, free-thinkers, artists, and other troublemakers. Increases demand for weapons and marines to police the rabble. Increases availability of crew due to emigration."
"headquarters","Headquarters","$market is a center of military command and logistical operation for the ruling polity. Increases market stability.

Increases the quality and number of officers in $market's fleets."
"hydroponics_complex","Hydroponics Complex","Sealed-biosphere agricultural production facilities which allow farming in orbit or on the surface of inhospitable worlds. Requires crew to operate, organic growth medium, and heavy machinery for upkeep."
"population_1","Population","Only tens of people live here permanently."
"population_2","Population","Mere hundreds of people populate $marketName."
"population_3","Population","Thousands of people call $marketName home."
"population_4","Population","Tens of thousands of people live on $marketName."
"population_5","Population","$marketName is home to hundreds of thousands of people."
"population_6","Population","The population of $marketName is in the millions."
"population_7","Population","$marketName is a world of tens of millions."
"population_8","Population","$marketName is one of the few worlds in the Sector with a population of hundreds of millions."
"population_9","Population","A precious refuge for humanity in a dangerous galaxy, $marketName is home to billions of souls."
"population_10","Population","$marketName is a dominant population center in the Sector, a rival to Old Earth as home to tens of billions of humans."
"event_food_shortage","Food Shortage","There's a temporary lack of available food on $market.
- Stability reduced by $stabilityPenalty
- Approximately $neededFood units of food needed to end shortage
- Food prices increased due to lowered food supply
- Increased reputation and experience from selling food"
"recent_unrest","Recent Unrest","$market has recently experienced tumultous events with a lingering effect on stability."
"event_trade_disruption","Trade Disruption","Trade fleets going to or from $market are taking significant losses. Piracy or war are most likely to blame.

The following commodities are affected:
$commoditySummary"
"event_smuggling","Smuggling","$market is experiencing a high volume of smuggling activity.

- Stability reduced by $smugglingPenalty"
"event_bounty","System Bounty",""
"rogue_ai_core","Rogue AI Core","There is a rogue AI core operating on or near $market. Its long-term plans and ambitions, beyond its own survival, are unknown.

At a minimum, the need to be on guard against its possible actions makes day-to-day operations less efficient and creates fertile ground for alarming rumours."
"ai_core_admin","AI Core Admin (hidden)","Hidden condition to track when the core becomes un-removable. Does not need an icon."
"pirate_activity","Pirate Activity","There have been signs that pirates are targeting shipping and colonies in this system - from port inspectors being pressured to turn a blind eye, to inconsistencies in cargo manifests, to other increased criminal activity.

The pirates most likely have a base somewhere relatively nearby."
"hostile_activity","Hostile Activity",""
"pather_cells","Luddic Path Cells",""
"shipping_disruption","Trade Disruption",""
"comm_relay","Comm Relay (hidden)","Hidden condition; does not need icon."
"habitable","Habitable","Human beings can survive unprotected exposure to the surface conditions of $market."
"ruins_scattered","Scattered Ruins","This world was only lightly touched by the great project of the Domain before the collapse. Only scattered, broken domes remain, perchance holding lost caches of valuable materials."
"ruins_widespread","Widespread Ruins","Widespread ruins, blips from radiation sources, and the distinctive burred radar-ping of foamed cerametal structures can be found across $market, evidence of a small but concerted colonization effort dating to the late expansion period of the Domain."
"ruins_extensive","Extensive Ruins","Ruined cities can be found across the surface of $market, spilling from their broken hearts pitted roadways and crumbling magrail lines to the skeletons of factories, aquaponics domes, and comm-towers."
"ruins_vast","Vast Ruins","$market is covered in vast ruins; cities, factories, mines, farms, homes. The dead are in dread abundance, entwined with salvageable materials, goods, tools, and weapons. This world is a tomb for the hubris of the Domain's project of galactic colonization and hegemony. "
"cold","Cold","The low temperatures found on $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure."
"very_cold","Extreme Cold","Extreme cold necessitates specialized equipment and protocol to perform operations safely on $market, complicating logistics, life support, and infrastructure."
"hot","Hot","The high temperature conditions of $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure."
"very_hot","Extreme Heat","Extreme heat necessitates specialized equipment and protocol to safely operate on $market, seriously complicating logistics, life support, and long-term stability of infrastructure."
